name,type_name,character_name,number,image_url
Ultraman Zero,Zero Sluggers,ZERO,AP(14/20) BP01-061,https://img.ultraman-cardgame.com/images/card_details/4a6eaceb5618ae6929ced54c462cf73be53b6e3b.png
Ultraman Zero,,ZERO,AP(13/20) BP01-055,https://img.ultraman-cardgame.com/images/card_details/14c16781cf14fdca59258813e07726050461fb6e.png
Ultraman Gaia,,GAIA,AP(12/20) BP01-049,https://img.ultraman-cardgame.com/images/card_details/d16395b852316a03928cbd39f6867a134a60b8e2.png
Ultraman Gaia,V1,GAIA,AP(11/20) BP01-046,https://img.ultraman-cardgame.com/images/card_details/be02924decd3817204cde6033bb5024b6d2d79d4.png
Ultraman Blazar,,BLAZAR,AP(10/20) BP01-040,https://img.ultraman-cardgame.com/images/card_details/57aa50c9474fe306e0123d1fe309d78e2017ca74.png
Ultraman Blazar,,BLAZAR,AP(09/20) BP01-037,https://img.ultraman-cardgame.com/images/card_details/9e9473283b8892d46dc86b3f18ac70517db706c2.png
Ultraman Decker,,DECKER,AP(08/20) BP01-031,https://img.ultraman-cardgame.com/images/card_details/29727c5794b39ac98c49644a3065cc98566816c2.png
Ultraman Decker,Flash Type,DECKER,AP(07/20) BP01-028,https://img.ultraman-cardgame.com/images/card_details/233964b1b74cf1d721b40c97511557c24d68aaf7.png
Ultraman Mebius,,MEBIUS,AP(06/20) BP01-022,https://img.ultraman-cardgame.com/images/card_details/1f4e493830860b918cb97f199947d979c247c188.png
Ultraman Mebius,,MEBIUS,AP(05/20) BP01-019,https://img.ultraman-cardgame.com/images/card_details/ce9e9ffcc1402c98e8c4735ddd20b33e0cc69c25.png
Ultraman Arc,,ARC,SSSP(02/02) BP01-016,https://img.ultraman-cardgame.com/images/card_details/8edc360e39803e23f565a88a10de45c8ec2e9d8e.png
Ultraman Arc,,ARC,UR(02/02) BP01-016,https://img.ultraman-cardgame.com/images/card_details/2ebf5ef6f46a0aa231d1b026972af6314b0e6f18.png
Ultraman Arc,,ARC,AP(04/20) BP01-013,https://img.ultraman-cardgame.com/images/card_details/d86b5dd026eeef0d51df6eb18338fc6955551565.png
Ultraman Arc,,ARC,AP(03/20) BP01-010,https://img.ultraman-cardgame.com/images/card_details/5c38cb552f5c54f7cd5cbde553ec1b7412bc9f7a.png
Ultraman Tiga,Zeperion Beam,TIGA,SSSP(01/02) BP01-007,https://img.ultraman-cardgame.com/images/card_details/09a1fd8afeb96f5047171eca19d55ace0433f2f8.png
Ultraman Tiga,Zeperion Beam,TIGA,UR(01/02) BP01-007,https://img.ultraman-cardgame.com/images/card_details/e80bd30202530b1605d625201a0389b990b5173e.png
Ultraman Tiga,,TIGA,AP(02/20) BP01-004,https://img.ultraman-cardgame.com/images/card_details/25541fc29c8736c8f625304eff201a22175c1194.png
Ultraman Tiga,,TIGA,AP(01/20) BP01-001,https://img.ultraman-cardgame.com/images/card_details/896548e5e438db94def736e5defb33e174805a17.png
Ultraman Blazar,Spiral Burrade,BLAZAR,SP(05/05)BP01-043,https://img.ultraman-cardgame.com/images/card_details/25f5050c6c2eb983d4f3b6f72a1f97dc7ed7ae7a.png
Ultraman Decker,Flash Type,DECKER,SP(04/05)BP01-034,https://img.ultraman-cardgame.com/images/card_details/65186e2fd7854f275788f5a11d23dcc60c8d2642.png
Ultraman Mebius,Mebium Knight Blade,MEBIUS,SP(03/05)BP01-025,https://img.ultraman-cardgame.com/images/card_details/fa5fc18c19d0b13733a0dfbbd875fbcccc17913d.png
Ultraman Arc,,ARC,SP(02/05)BP01-016,https://img.ultraman-cardgame.com/images/card_details/45a1d877a5cda94b310bfa5ba9407b550dd3f1cd.png
Ultraman Tiga,Zeperion Beam,TIGA,SP(01/05)BP01-007,https://img.ultraman-cardgame.com/images/card_details/b8accc7fbad433303ce7fdaaf5420366fd061a87.png
For Smiles,,-,BP01-110,https://img.ultraman-cardgame.com/images/card_details/db2a4bf22ff1736992c834490d143395d3c9ad79.png
Chant My Name!,,-,BP01-109,https://img.ultraman-cardgame.com/images/card_details/daab4ab5004fa516ee6c64ff224a58b8629a537c.png
